,date,price
665,1574522700,151.58839376
666,1574523000,151.59940929
667,1574523300,151.16751433
668,1574523600,151.64975555
669,1574523900,152.40213858
670,1574524200,152.33115315
671,1574524500,152.40213896
672,1574524800,152.07473532
673,1574525100,152.91155806
674,1574525400,152.68787282
675,1574525700,152.91381887
676,1574526000,152.74494694
677,1574526300,152.83807617
678,1574526600,153.31284861
679,1574526900,153.48333
680,1574527200,153.26905067
681,1574527500,153.9566671
682,1574527800,153.32499722
683,1574528100,153.35123425
684,1574528400,153.07533069
685,1574528700,152.94142049
686,1574529000,152.32508
687,1574529300,152.04779999
688,1574529600,152.32956023
689,1574529900,152.56457953
690,1574530200,153.61270356
691,1574530500,153.04662309
692,1574530800,152.99053136
693,1574531100,152.51124706
694,1574531400,151.9866658
695,1574531700,152.02651702
696,1574532000,151.90197088
697,1574532300,151.55269227
698,1574532600,151.56257214
699,1574532900,152.02075341
700,1574533200,151.99754628
701,1574533500,152.12141048
702,1574533800,152.4121001
703,1574534100,152.5316448
704,1574534400,152.27467659
705,1574534700,152.517388
706,1574535000,152.63515669
707,1574535300,152.41891938
708,1574535600,152.90327111
709,1574535900,152.90075293
710,1574536200,152.75890355
711,1574536500,152.66
712,1574536800,152.51306011
713,1574537100,152.41548733
714,1574537400,152.26465669
715,1574537700,152.40527918
716,1574538000,152.30913485
717,1574538300,152.29953384
718,1574538600,151.54000011
719,1574538900,151.82999999
720,1574539200,151.0
721,1574539500,151.40401319
722,1574539800,151.01
723,1574540100,151.18
724,1574540400,151.263314
725,1574540700,151.23876038
726,1574541000,151.09679216
727,1574541300,150.97293437
728,1574541600,151.08801438
729,1574541900,151.26098421
730,1574542200,150.91575508
731,1574542500,150.95220726
732,1574542800,150.81019305
733,1574543100,150.52456866
734,1574543400,150.70485608
735,1574543700,150.42341593
736,1574544000,150.52659811
737,1574544300,150.3762157
738,1574544600,150.24696532
739,1574544900,150.3473498
740,1574545200,150.3
741,1574545500,150.50144911
742,1574545800,150.76260001
743,1574546100,151.20597796
744,1574546400,151.04118205
745,1574546700,151.19
746,1574547000,151.62708516
747,1574547300,151.68689559
748,1574547600,151.83858248
749,1574547900,152.06104686
750,1574548200,152.06427864
751,1574548500,152.5615654
752,1574548800,152.56
753,1574549100,152.76178807
754,1574549400,152.19915242
755,1574549700,151.95508975
756,1574550000,151.9
757,1574550300,152.24865335
758,1574550600,152.53366499
759,1574550900,152.51791673
760,1574551200,152.48748624
761,1574551500,152.12769609
762,1574551800,152.32500798
763,1574552100,152.44924051
764,1574552400,152.2088603
765,1574552700,151.87796958
766,1574553000,151.88000004
767,1574553300,151.66640729
768,1574553600,152.73459425
769,1574553900,152.06104686
770,1574554200,152.0553692
771,1574554500,151.45593692
772,1574554800,151.58934174
773,1574555100,151.0
774,1574555400,151.30878596
775,1574555700,150.92890811
776,1574556000,150.71637073
777,1574556300,150.45611661
778,1574556600,150.63230042
779,1574556900,150.84481396
780,1574557200,150.76919649
781,1574557500,150.62448136
782,1574557800,151.03558145
783,1574558100,150.84811415
784,1574558400,151.05691644
785,1574558700,151.07928152
786,1574559000,150.83125719
787,1574559300,150.73217165
788,1574559600,150.86498487
789,1574559900,150.84204781
790,1574560200,150.94542535
791,1574560500,150.84042006
792,1574560800,151.24007961
793,1574561100,151.05504677
794,1574561400,151.12498947
795,1574561700,151.57659999
796,1574562000,151.6243
797,1574562300,151.44995001
798,1574562600,151.12016181
799,1574562900,150.99007753
800,1574563200,150.94387703
801,1574563500,150.64961407
802,1574563800,150.4854
803,1574564100,150.53881473
804,1574564400,149.7473
805,1574564700,150.05625071
806,1574565000,150.15868446
807,1574565300,149.6114934
808,1574565600,149.86
809,1574565900,149.76259996
810,1574566200,149.88
811,1574566500,149.8241
812,1574566800,149.9372
813,1574567100,150.08289999
814,1574567400,150.0209
815,1574567700,149.78365871
816,1574568000,149.66929999
817,1574568300,149.86111957
818,1574568600,149.87983542
